Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
Port#:1,5546,118807796,70878443,218690,2889,0,0,0,0,1,-5384,2621,4,5,0,0,0,0,2,-923,4863,-1424,-620,298,True,0,4,666466,664473,-1,Normal,Normal
Port#:2,181753,158631379,138134635,252549,959,0,0,0,0,141,-9038,1565,56,5,0,0,0,0,3,-969,22562,-8,6437,77,True,0,5,988646,973392,-1,Normal,Normal
Port#:3,4773,45486727,25331610,4736,1544,0,0,0,0,-1,-3917,949,4,5,0,0,0,0,2,79,20124,-462,12005,564,True,0,7,21224,19302,-1,Diversion,Attack
Port#:1,4915,60239969,19389662,5299,3119,0,0,0,0,1,7227,-8177,2,5,0,0,0,0,2,-870,10471,-100,-13044,174,True,0,5,24169,23347,-1,Diversion,Attack
Port#:4,362037,69573818,12970260,214792,1074,0,0,0,0,1,3451884,-6473,2,5,0,0,0,0,4,-606,-3287,391,11096,1096,True,0,7,1014693,1015057,-1,Normal,Normal
Port#:4,182199,39310891,3155430,-2138,1030,0,0,0,0,5,-5189,8913,1,5,0,0,0,0,4,-53,6172,-36,-11395,809,True,0,5,4101,7172,-1,Diversion,Attack
Port#:2,5776,80220033,125580298,247127,3158,0,0,0,0,0,2997,1189,3,4,0,0,0,0,2,-1197,-14843,-208,-8050,-120,True,0,5,498846,537591,-1,Normal,Normal
Port#:3,126600,216478028,24068552,3942,1628,0,0,0,0,3,-6210,-3113,5,5,0,0,0,0,4,492,14411,-96,-960,1982,True,0,4,12815,17594,-1,Normal,Normal
Port#:1,1145,13801495,19061851,2997,3100,0,0,0,0,0,-810,1773,3,5,0,0,0,0,2,-356,-4335,-313,-10350,259,True,0,5,8679,5504,-1,Diversion,Attack
Port#:1,3846,105009360,78449406,5554,1999,0,0,0,0,0,5614233,570,2,5,0,0,0,0,2,-141,-137,-631,9171,353,True,0,7,9215,19278,-1,Diversion,Attack
